,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
798,500108142,YouBike2.0_康寧路三段99巷17弄口,15,0,內湖區,2023-05-27 11:58:03,康寧路三段99巷19號對側,15,1
799,500108143,YouBike2.0_堤頂大道二段407巷口,15,1,內湖區,2023-05-27 13:37:04,堤頂大道二段405號前,14,1
800,500108144,YouBike2.0_海德堡科技大樓,12,2,內湖區,2023-05-27 10:03:15,堤頂大道二段473號前,9,1
801,500108145,YouBike2.0_致伸科技大樓,17,1,內湖區,2023-05-27 12:38:14,瑞光路669號旁,16,1
802,500108146,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-05-27 11:22:15,內湖路一段290號前,19,1
803,500108147,YouBike2.0_大都會客運內湖站,15,0,內湖區,2023-05-27 10:25:05,民權東路六段11巷25號對側,15,1
804,500108148,YouBike2.0_瑞湖公園,15,1,內湖區,2023-05-27 10:44:04,民權東路六段15巷/民權東路六段19巷,14,1
805,500108150,YouBike2.0_台灣世曦大樓,16,1,內湖區,2023-05-27 13:45:05,陽光街323號,14,1
807,500108152,YouBike2.0_瑞光路358巷口,14,3,內湖區,2023-05-27 10:48:14,瑞光路/瑞光路358巷,11,1
811,500108157,YouBike2.0_新湖三行忠路72巷口,15,1,內湖區,2023-05-27 07:39:04,新湖三路/行忠路72巷,13,1
812,500108158,YouBike2.0_新湖三新湖二146巷口,15,0,內湖區,2023-05-27 13:25:05,新湖三路122、124號對側,15,1
815,500108161,YouBike2.0_內湖路一段120巷15弄,19,3,內湖區,2023-05-27 06:54:14,內湖路一段120巷15弄8號對側,16,1
816,500108162,YouBike2.0_北勢湖環保公園(堤頂大道側),14,1,內湖區,2023-05-27 12:09:04,堤頂大道二段501號前,13,1
817,500108164,YouBike2.0_達爾文大樓,15,2,內湖區,2023-05-27 12:49:14,洲子街61號,13,1
822,500109005,YouBike2.0_文林建民路口,20,3,北投區,2023-05-27 13:37:14,文林北路214-216號(前),17,1
829,500109012,YouBike2.0_捷運關渡站(2號出口),14,2,北投區,2023-05-27 13:46:16,捷運關渡站2號出口外人行道,12,1
830,500109013,YouBike2.0_中央北路四段540巷口,19,3,北投區,2023-05-27 13:45:16,中央北路四段529號(對面),16,1
834,500109017,YouBike2.0_豐年公園,20,1,北投區,2023-05-27 13:08:14,大業路529號(對面),19,1
836,500109019,YouBike2.0_國防大學政治作戰學院,30,0,北投區,2023-05-27 13:42:04,中央北路二段167號(對面),28,1
837,500109020,YouBike2.0_秀山區民活動中心,20,1,北投區,2023-05-27 12:01:56,秀山路50號(旁),19,1
855,500109040,YouBike2.0_振興公園,13,2,北投區,2023-05-27 13:45:16,天母西路109號(對面),10,1
859,500109044,YouBike2.0_榮富公園,13,1,北投區,2023-05-27 13:40:21,榮華三路2號(旁),12,1
862,500109047,YouBike2.0_中央北路四段30巷口,16,3,北投區,2023-05-27 13:39:14,中央北路四段32號(旁),12,1
865,500109050,YouBike2.0_復興公園,14,1,北投區,2023-05-27 13:35:04,中和街61號對側,13,1
874,500109059,YouBike2.0_珠海復興一路口,15,0,北投區,2023-05-27 13:17:22,珠海路/復興一路口(東側),15,1
876,500109061,YouBike2.0_新奇岩社會住宅,12,2,北投區,2023-05-27 13:30:39,磺港路269-271號(旁),10,1
881,500109066,YouBike2.0_福星公園,18,3,北投區,2023-05-27 11:03:15,文林北路280號(對側公園),14,1
882,500109067,YouBike2.0_中庸公園,12,3,北投區,2023-05-27 13:39:14,珠海路1號旁,7,1
883,500109068,YouBike2.0_豐年公園_1,18,3,北投區,2023-05-27 13:32:14,大業路539號,15,1
887,500109073,YouBike2.0_北投公園露天溫泉,15,3,北投區,2023-05-27 13:41:16,中山路6號西側(北投溪木道西側),12,1
888,500109074,YouBike2.0_中和街493巷9弄口,16,0,北投區,2023-05-27 13:41:04,中和街493巷9弄2號對側,16,1
893,500109079,YouBike2.0_捷運忠義站(2號出口),20,1,北投區,2023-05-27 13:34:14,捷運忠義站(2號出口)無障礙坡道旁,19,1
898,500109085,YouBike2.0_北投文化公園(北側),15,0,北投區,2023-05-27 13:27:04,文化三路2號西側公園,15,1
900,500110003,YouBike2.0_塔悠八德路口,34,2,松山區,2023-05-27 13:39:14,塔悠路2號(旁),31,1
901,500110004,YouBike2.0_鵬程公園,24,0,松山區,2023-05-27 13:39:04,健康路399號北側,24,1
905,500110008,YouBike2.0_光復北路11巷口,23,3,松山區,2023-05-27 13:45:16,光復北路13號(旁),20,1
906,500110009,YouBike2.0_捷運南京三民站(4號出口),13,3,松山區,2023-05-27 13:46:16,南京東路五段229號(前),9,1
907,500110010,YouBike2.0_西松高中,14,1,松山區,2023-05-27 13:44:06,健康路325巷5弄5號(前),12,1
909,500110012,YouBike2.0_民福三號綠地,15,2,松山區,2023-05-27 13:12:14,民族東路712號(對面),13,1
919,500110022,YouBike2.0_民權運動公園,21,3,松山區,2023-05-27 13:23:15,民權東路四段/新中街口(西南側),18,1
920,500110023,YouBike2.0_新東公園,36,1,松山區,2023-05-27 13:44:17,民生東路五段/塔悠路口(西南側),35,1
922,500110025,YouBike2.0_三民公園,22,3,松山區,2023-05-27 13:23:15,撫遠街298號對側公園,19,1
923,500110026,YouBike2.0_八德路三段74巷口,17,0,松山區,2023-05-27 13:37:04,八德路三段74巷95號南側,17,1
925,500110028,YouBike2.0_三軍總醫院(松山分院),44,0,松山區,2023-05-27 13:46:16,光復北路/光復北路190巷口(東南側),43,1
927,500110030,YouBike2.0_健康社會住宅,20,2,松山區,2023-05-27 13:42:14,健康路305號(前),16,1
931,500110034,YouBike2.0_光復南路58巷,12,3,松山區,2023-05-27 13:38:14,光復南路58巷11號東側,6,1
932,500110035,YouBike2.0_松山新城,14,0,松山區,2023-05-27 13:30:28,健康路78號(對面),14,1
933,500110036,YouBike2.0_內政部營建署,33,2,松山區,2023-05-27 13:45:16,八德路二段342號(前),31,1
938,500110041,YouBike2.0_復盛公園,20,2,松山區,2023-05-27 13:43:14,八德路四段106巷/八德路四段106巷6弄口(東側),17,1
944,500110047,YouBike2.0_捷運小巨蛋站(5號出口),22,1,松山區,2023-05-27 13:40:21,南京東路四段75-1號前,21,1
948,500110051,YouBike2.0_民權東路三段106巷口,22,1,松山區,2023-05-27 13:42:14,民權東路三段102號前,19,1
949,500110052,YouBike2.0_南京東路五段59巷口,11,3,松山區,2023-05-27 13:43:14,南京東路五段57號(前),8,1
950,500110053,YouBike2.0_三民公園(塔悠路),20,1,松山區,2023-05-27 13:46:04,塔悠路/撫遠街261巷(西側),19,1
952,500110055,YouBike2.0_西松公園,11,2,松山區,2023-05-27 13:37:14,健康路/南京東路五段251巷50弄(西側),8,1
953,500110056,YouBike2.0_長壽公園,15,0,松山區,2023-05-27 13:46:04,健康路174號(旁),15,1
954,500110057,YouBike2.0_復源公園,14,2,松山區,2023-05-27 13:44:17,八德路三段106巷62號(對面),10,1
957,500110060,YouBike2.0_西松高中(健康路325巷),31,0,松山區,2023-05-27 13:21:04,健康路325巷 / 健康路325巷12弄口(東北側),31,1
960,500110063,YouBike2.0_介壽國中,12,0,松山區,2023-05-27 13:42:04,民生東路五段36巷/光復北路165巷,11,1
963,500110066,YouBike2.0_新東街51巷口,23,3,松山區,2023-05-27 13:44:17,三民路 / 新東街51巷口(東側),20,1
964,500110067,YouBike2.0_八德立體停車場,16,0,松山區,2023-05-27 13:45:05,八德路/松信路(西南側),16,1
965,500110068,YouBike2.0_長春慶城街口,16,1,松山區,2023-05-27 13:37:04,長春路431號前,15,1
966,500110069,YouBike2.0_八德路四段652巷口,20,1,松山區,2023-05-27 13:31:16,八德路四段650號南側,19,1
968,500110071,YouBike2.0_捷運小巨蛋站(3號出口),15,0,松山區,2023-05-27 13:38:04,南京東路四段12號前,15,1
972,500110076,YouBike2.0_市民延吉街口,30,0,松山區,2023-05-27 13:39:04,市民大道/延吉街(市民大道橋下空地),28,1
973,500110077,YouBike2.0_龍城市場,15,3,松山區,2023-05-27 13:40:21,光復北路190巷35號對側,11,1
976,500110080,YouBike2.0_五常街370巷,11,3,松山區,2023-05-27 13:46:16,五常街370巷8號,8,1
980,500111004,YouBike2.0_忠孝東路六段225巷口,35,0,南港區,2023-05-27 13:40:10,忠孝東路六段219號,35,1
982,500111006,YouBike2.0_合樂公園,15,1,南港區,2023-05-27 13:31:16,玉成街46號東側,14,1
983,500111007,YouBike2.0_合心廣場,38,3,南港區,2023-05-27 13:43:14,忠孝東路六段17號東北側,35,1
984,500111008,YouBike2.0_成德國中,26,2,南港區,2023-05-27 13:42:14,東新街118巷15號南側,23,1
990,500111014,YouBike2.0_中研公園,40,1,南港區,2023-05-27 13:32:14,研究院路二段12巷58弄9號西側,39,1
993,500111017,YouBike2.0_凌雲市場,20,1,南港區,2023-05-27 13:45:05,研究院路三段68巷9號北側,19,1
995,500111019,YouBike2.0_捷運南港軟體園區(2號出口),34,3,南港區,2023-05-27 13:27:14,經貿二路183號(2號出口),31,1
999,500111023,YouBike2.0_東陽公園,30,3,南港區,2023-05-27 13:43:14,重陽路125巷34號東側,27,1
1000,500111024,YouBike2.0_向陽南港路口,21,0,南港區,2023-05-27 13:45:16,向陽路49號北側,20,1
1004,500111028,YouBike2.0_東新國小,22,2,南港區,2023-05-27 13:45:16,東明街68號北側,19,1
1006,500111030,YouBike2.0_六福公園,19,3,南港區,2023-05-27 13:45:16,研究院路二段35巷23弄25號北側,16,1
1007,500111031,YouBike2.0_南港加壓站,24,3,南港區,2023-05-27 13:30:39,研究院路二段3巷1號西側,21,1
1015,500111039,YouBike2.0_凌雲五村(研究院路三段8巷),26,2,南港區,2023-05-27 13:23:15,研究院路三段10巷1號東側,24,1
1017,500111041,YouBike2.0_南港高中(昆陽街),14,3,南港區,2023-05-27 13:43:14,昆陽街58號東側,10,1
1018,500111042,YouBike2.0_南港路三段290巷口,20,2,南港區,2023-05-27 13:29:14,南港路三段314巷20號,18,1
1019,500111043,YouBike2.0_南港路三段220巷口,25,2,南港區,2023-05-27 13:45:16,南港路三段133號,22,1
1022,500111046,YouBike2.0_捷運後山埤站(3號出口),12,0,南港區,2023-05-15 07:23:15,玉成街150號,12,0
1023,500111047,YouBike2.0_玉成公園運動中心,15,2,南港區,2023-05-27 13:46:16,中坡南路19號,13,1
1024,500111048,YouBike2.0_百福公園,18,1,南港區,2023-05-27 13:43:14,福德街309巷7號南側,16,1
1026,500111050,YouBike2.0_園區重陽路口,13,0,南港區,2023-05-27 12:43:04,重陽路458號西側,12,1
1028,500111052,YouBike2.0_胡適公園,20,2,南港區,2023-05-27 12:44:14,研究院路二段/研究院路二段132巷北側,18,1
1030,500111054,YouBike2.0_經貿公園,20,1,南港區,2023-05-27 13:06:16,經園街58號北側,19,1
1031,500111055,YouBike2.0_育成高中,20,1,南港區,2023-05-27 13:41:16,惠民街71號西側,19,1
1033,500111057,YouBike2.0_力行橋(南港),18,0,南港區,2023-05-27 13:36:04,研究院路一段101巷16弄2號南側,18,1
1034,500111058,YouBike2.0_舊莊國小(舊莊街一段),15,1,南港區,2023-05-27 12:10:19,舊莊街一段/舊莊街一段145巷口,14,1
1039,500111063,YouBike2.0_成德綠地,17,2,南港區,2023-05-27 13:41:16,東新街65號東南側,15,1
1042,500111066,YouBike2.0_昆陽公園,14,0,南港區,2023-05-27 13:34:04,昆陽街173號對側,14,1
1043,500111067,YouBike2.0_南港路二段178巷口,18,3,南港區,2023-05-27 13:30:39,南港路二段 / 南港路二段178巷口(北側),14,1
1046,500111070,YouBike2.0_玉成公園(成福路178巷口),18,1,南港區,2023-05-27 13:41:16,成福路178巷8號對側,15,1
1047,500111071,YouBike2.0_玉東公園(東新街),14,3,南港區,2023-05-27 13:24:14,東新街/市民大道七段(北側),11,1
1049,500111073,YouBike2.0_成福路197巷口,15,1,南港區,2023-05-27 13:46:16,成福路197巷/成福路,14,1
1052,500111076,YouBike2.0_南港展覽館2館,18,2,南港區,2023-05-27 13:24:14,經貿二路/南港路一段(西北側),16,1
1053,500111077,YouBike2.0_舊莊派出所,15,3,南港區,2023-05-27 13:46:16,舊莊街一段/舊莊街一段215巷,12,1
1056,500111080,YouBike2.0_忠孝東路六段278巷口,14,1,南港區,2023-05-27 13:37:14,忠孝東路/忠孝東路六段278巷,13,1
1060,500111084,YouBike2.0_忠孝東路六段212巷口,15,0,南港區,2023-05-27 13:46:16,忠孝東路六段226號前,14,1
1061,500111085,YouBike2.0_新富公園,13,1,南港區,2023-05-27 13:43:14,富康街47巷2號對側,12,1
1065,500112002,YouBike2.0_基隆路二段159巷口,14,0,信義區,2023-05-27 13:44:06,基隆路二段155號,11,1
1066,500112003,YouBike2.0_嘉興街175巷口,16,2,信義區,2023-05-27 13:44:17,基隆路二段131-4號(前),12,1
1067,500112004,YouBike2.0_和平東路三段631巷口,15,0,信義區,2023-05-27 13:40:10,和平東路三段633號前,15,1
1068,500112005,YouBike2.0_和平東路三段530巷口,15,2,信義區,2023-05-27 13:23:15,和平東路三段530巷口東北側,13,1
1069,500112006,YouBike2.0_景勤二號公園,41,1,信義區,2023-05-27 13:40:10,信安街50號(對面),40,1
1070,500112007,YouBike2.0_臺北醫學大學,55,3,信義區,2023-05-27 13:45:16,台北醫學大學(吳興街220巷59弄),52,1
1071,500112008,YouBike2.0_三興公園,31,1,信義區,2023-05-27 13:39:04,吳興街118巷35弄28號前方(三興公園),30,1
1074,500112011,YouBike2.0_象山公園,34,2,信義區,2023-05-27 13:45:16,松仁路153巷15號東側,32,1
1075,500112012,YouBike2.0_松仁路253巷3弄,26,1,信義區,2023-05-27 13:44:17,松仁路215巷6號,24,1
1080,500112017,YouBike2.0_台北市災害應變中心,45,1,信義區,2023-05-27 13:43:04,莊敬路391巷11弄2號(東北側),43,1
1083,500112020,YouBike2.0_景新公園,17,2,信義區,2023-05-27 13:46:16,莊敬路239巷12號(對面),15,1
1084,500112021,YouBike2.0_光復信義路口東南側,16,0,信義區,2023-05-27 13:37:04,光復南路485號前方,15,1
1085,500112022,YouBike2.0_三張犁,40,1,信義區,2023-05-27 13:41:16,光復南路455號前方,35,1
1088,500112025,YouBike2.0_松友公園,27,3,信義區,2023-05-27 13:39:14,信義路六段76巷2弄22號(對面),23,1
1090,500112027,YouBike2.0_松山家商,25,0,信義區,2023-05-27 13:41:04,松山路655號(前),25,1
1099,500112037,YouBike2.0_春光公園,30,1,信義區,2023-05-27 13:44:06,林口街230號(斜對面),28,1
1101,500112039,YouBike2.0_福德國小,35,1,信義區,2023-05-27 13:45:05,福德街251巷2號對側,32,1
1102,500112040,YouBike2.0_福德公園,35,2,信義區,2023-05-27 13:45:16,大道路與大道路145巷口,31,1
1106,500112045,YouBike2.0_吳興公車總站,56,2,信義區,2023-05-27 13:44:17,松仁路277號南側,54,1
1108,500112047,YouBike2.0_興雅國小(基隆路一段37巷),15,0,信義區,2023-05-27 12:59:04,基隆路一段83巷9號西側,13,1
1113,500112052,YouBike2.0_三興國小,22,0,信義區,2023-05-27 13:42:04,基隆路二段99-1號(前),22,1
1114,500112053,YouBike2.0_市民松信路口,20,0,信義區,2023-05-27 13:39:04,市民大道六段/松信路口(西側),18,1
1116,500112055,YouBike2.0_基隆光復路口,17,0,信義區,2023-05-27 13:35:04,基隆路二段/光復南路(東北側),17,1
1120,500112059,YouBike2.0_虎林永吉路口,15,0,信義區,2023-05-27 13:39:04,永吉路356號東側,14,1
1121,500112060,YouBike2.0_永吉公園,18,1,信義區,2023-05-27 13:39:14,永吉路326巷66號西側,14,1
1123,500112062,YouBike2.0_松山永吉路口,20,2,信義區,2023-05-27 13:46:16,松山路166號,18,1
1128,500112067,YouBike2.0_松德虎林街口,25,2,信義區,2023-05-27 13:40:21,松德路79號前,21,1
1130,500112069,YouBike2.0_基隆路一段101巷口,23,2,信義區,2023-05-27 13:36:15,基隆路一段109-6號前,20,1
1134,500112073,YouBike2.0_仁愛逸仙路口,28,2,信義區,2023-05-27 13:41:16,仁愛路四段/逸仙路口(西北側),25,1
1138,500112078,YouBike2.0_吳興街284巷36弄口,25,0,信義區,2023-05-27 13:42:04,吳興街284巷36弄24號西側,23,1
1140,500112080,YouBike2.0_福德國小公車站,10,0,信義區,2023-05-27 13:45:05,福德街308號對側,10,1
1144,500112084,YouBike2.0_景平公園,13,1,信義區,2023-05-27 13:30:28,松平路50巷15號對側,12,1
1146,500112086,YouBike2.0_五分埔公園,18,0,信義區,2023-05-27 13:41:04,中坡北路57號旁,17,1
1147,500112087,YouBike2.0_松仁路305號,14,0,信義區,2023-05-27 13:25:05,松仁路/吳興街583巷3弄,14,1
1148,500112088,YouBike2.0_吳興街394巷口,12,1,信義區,2023-05-27 13:29:14,吳興街394巷/吳興街,10,1
1150,500112090,YouBike2.0_松勤莊敬路口,15,3,信義區,2023-05-27 13:39:14,松勤街/莊敬路,12,1
1151,500112091,YouBike2.0_松仁松平路口,10,0,信義區,2023-05-27 13:24:04,松仁路/松平路,10,1
1152,500112092,YouBike2.0_信義松德路口,18,2,信義區,2023-05-27 13:08:15,信義路五段180號前,16,1
1154,500112094,YouBike2.0_吳興街284巷(廣安宮),15,0,信義區,2023-05-27 13:05:05,吳興街284巷23號對側,14,1
1156,500112096,YouBike2.0_克勤新村,18,1,信義區,2023-05-27 13:36:15,信安街67巷75號對側,16,1
1157,500112097,YouBike2.0_和平東路三段291號,15,0,信義區,2023-05-27 12:24:04,和平東路三段291號前,15,1
1165,500113008,YouBike2.0_國興青年路口,30,3,萬華區,2023-05-27 13:46:16,國興路與青年路口西南側,27,1
1166,500113009,YouBike2.0_青年公園棒球場,28,0,萬華區,2023-05-27 13:08:04,青年路66號對側,27,1
1169,500113013,YouBike2.0_新和國小,20,0,萬華區,2023-05-27 13:23:04,萬大路277巷37弄1號東側,18,1
1171,500113015,YouBike2.0_莒光立體停車場,10,1,萬華區,2023-05-27 13:25:15,莒光路137號前,9,1
1174,500113018,YouBike2.0_華中疏散門,12,2,萬華區,2023-05-27 13:29:14,環河南路三段371號前,9,1
1176,500113020,YouBike2.0_忠德公園,19,3,萬華區,2023-05-27 13:27:14,東園街66巷20弄27號前,16,1
1179,500113025,YouBike2.0_雙園國中,24,1,萬華區,2023-05-27 13:37:04,西園路二段320巷與興義街口,21,1
1182,500113028,YouBike2.0_華江八號公園,20,0,萬華區,2023-05-27 13:26:04,環河南路二段216號旁,19,1
1183,500113029,YouBike2.0_環河南雙園街口,15,3,萬華區,2023-05-27 13:36:15,環河南路二段282號前,12,1
1185,500113031,YouBike2.0_糖廍文化園區,14,3,萬華區,2023-05-27 13:33:16,大理街177號對側,10,1
1191,500113037,YouBike2.0_貓公園(中興橋頭),15,0,萬華區,2023-05-27 13:14:04,成都路108號(對面),14,1
1193,500113039,YouBike2.0_中華桂林路口,28,1,萬華區,2023-05-27 13:44:17,中華路一段與桂林路口西北側,27,1
1201,500113047,YouBike2.0_臺北市電影主題公園(峨嵋街),15,1,萬華區,2023-05-27 13:45:16,峨嵋街100號(對面),14,1
1208,500113054,YouBike2.0_長順街60巷口,15,3,萬華區,2023-05-27 12:26:16,長順街60巷38號對側,12,1
1214,500113060,YouBike2.0_富民路145巷口,20,0,萬華區,2023-05-27 13:23:04,富民路151號對側,20,1
1216,500113062,YouBike2.0_龍山國中,15,2,萬華區,2023-05-27 13:29:14,南寧路與廣州街口南側,13,1
1217,500113063,YouBike2.0_洛陽停車場,22,1,萬華區,2023-05-27 13:33:16,昆明街與洛陽街口西側,19,1
1224,500113071,YouBike2.0_萬大路493巷,10,3,萬華區,2023-05-27 13:28:14,萬大路493巷44號旁,6,1
1225,500113072,YouBike2.0_雙園國中地下停車場,12,0,萬華區,2023-05-27 12:27:04,西園路二段320巷55弄8-10號前,11,1
1228,500119006,YouBike2.0_臺大卓越研究大樓,32,2,臺大專區,2023-05-27 13:38:14,臺大水源舍區C南側,27,1
1229,500119007,YouBike2.0_臺大水源修齊會館,18,3,臺大專區,2023-05-27 13:43:14,思源街16號之1旁,12,1
1230,500119008,YouBike2.0_臺大檔案展示館,10,1,臺大專區,2023-05-27 13:24:04,臺大檔案展示館東北側,8,1
1237,500119048,YouBike2.0_臺大大一女舍北側,53,2,臺大專區,2023-05-27 13:46:16,臺大女一舍北側,51,1
1245,500119056,YouBike2.0_臺大農化新館西側,10,0,臺大專區,2023-05-27 13:44:06,臺大生化科技學系西側,9,1
1247,500119058,YouBike2.0_臺大舊體育館西側,33,2,臺大專區,2023-05-27 13:46:04,臺大田徑場東側,30,1
1251,500119062,YouBike2.0_臺大公館停車場西北側,12,1,臺大專區,2023-05-27 13:34:04,臺大公館停車場西北側,11,1
1252,500119063,YouBike2.0_臺大第二行政大樓南側,27,0,臺大專區,2023-05-27 13:17:23,臺大行政大樓西側,27,1
1253,500119064,YouBike2.0_臺大明達館機車停車場,28,1,臺大專區,2023-05-27 13:36:04,臺大明達館西側,27,1
1254,500119065,YouBike2.0_臺大二號館,10,1,臺大專區,2023-05-27 13:40:21,臺大物理文物廳北側,9,1
1267,500119079,YouBike2.0_臺大一號館,19,0,臺大專區,2023-05-27 13:29:04,臺大植物魚類標本館一號館北側,19,1
1268,500119080,YouBike2.0_臺大小小福西南側,10,0,臺大專區,2023-05-27 13:24:04,臺大進修教育大樓,10,1
1270,500119082,YouBike2.0_臺大四號館東北側,10,2,臺大專區,2023-05-27 13:36:16,臺大園藝暨景觀學系北側,8,1
1273,500119085,YouBike2.0_臺大電機二館東南側,14,2,臺大專區,2023-05-27 13:45:16,臺大電機二館南側,12,1
1279,500119091,YouBike2.0_臺大明達館北側(員工宿舍),18,2,臺大公館校區,2023-05-27 13:39:14,明達館北側前空地,15,1
